rosbagTimestamp,Fx,Fy,Fz,Tx,Ty,Tz,joint_0,joint_1,joint_2,joint_3,joint_4,joint_5,vel_joint_0,vel_joint_1,vel_joint_2,vel_joint_3,vel_joint_4,vel_joint_5,effot_joint_0,effot_joint_1,effot_joint_2,effot_joint_3,effot_joint_4,effot_joint_5,Force Vec,Torque Vec,x,y,z,Rx,Ry,Rz
1607533109.238938,4.0,-6.5399932861300005,1.46000099182,0.44199991226199997,0.7330007553100001,0.255999982357,1.0874950885772705,-1.1846292654620572,2.1502237319946294,-2.493635956441061,4.655693054199219,1.0229622125625608,0.1706809252500534,0.0,-1.2783173588104546e-05,0.0220126248896122,0.018139323219656944,0.36782941222190857,1.0528565645217896,-4.806519031524658,-2.822439432144165,-0.0471038855612278,0.3880462944507599,0.3835602104663849,7.804044789642155,0.8934148088606045,-0.16977397489929344,-0.6650360292172297,0.1266668190331815,3.0774006827134834,0.028644209607828625,1.6355672133723453
1607533109.3508177,3.3700103759799998,-5.70999145508,1.1200008392299998,0.402999997139,0.63300037384,0.238000005484,1.1076581478118896,-1.1846292654620572,2.150187969207764,-2.4910143057452596,4.657825469970703,1.068238615989685,0.185650035738945,0.0,-1.2783173588104546e-05,0.02506141178309917,0.020977187901735302,0.4392170608043671,1.0070801973342896,-5.094910144805908,-2.723799705505371,0.02018737979233265,0.2758941948413849,0.3701019585132599,6.724237817862734,0.7872372409801239,-0.15605075964155068,-0.6682015558593951,0.12637912780097402,3.0766659168373494,0.02695249722534022,1.610525291920139
1607533109.4630065,2.75,-5.5399932861300005,0.5500011444089999,0.367999911308,0.517000198364,0.209999978542,1.1290806531906128,-1.1846416632281702,2.1501522064208984,-2.4879978338824666,4.6603665351867685,1.1208549737930298,0.19955812394618988,0.0,-0.00015339808305725455,0.03012354858219624,0.02506141178309917,0.4990039467811585,1.2359620332717896,-5.021667957305908,-2.867275714874268,0.011215210892260076,0.2624359428882599,0.4979553818702698,6.2093902171804825,0.6684408207304157,-0.14137286041789945,-0.6712432781807933,0.12605493661079734,3.075696665140953,0.024874655867982542,1.5794090689834586
1607533109.5748408,1.8800048828099998,-5.76998901367,0.420000076294,0.428999900818,0.48900032043499997,0.171000003815,1.1515105962753296,-1.1846416632281702,2.149588108062744,-2.4848850409137166,4.663469314575195,1.1809899806976318,0.20762430131435394,0.0,-0.009791910648345949,0.03029612079262733,0.02741990797221661,0.5737471580505371,1.2084962129592896,-4.618835926055908,-3.1811292171478267,-0.0403747595846653,0.2714081108570099,0.4463654160499573,6.083057754234206,0.6726092696299364,-0.1260280392133401,-0.674375803336318,0.12594139860244102,3.0752403753609623,0.02260348539261099,1.5417650114464931
1607533109.6869946,1.8800048828099998,-5.64999389648,0.420000076294,0.389999985695,0.34300041198700004,0.143000006676,1.1748765707015991,-1.184509579335348,2.147511959075928,-2.4812100569354456,4.666956424713135,1.248918056488037,0.20804615318775174,0.004422978032380343,-0.027240943163633347,0.03424612060189247,0.031561654061079025,0.631808340549469,1.3687134981155396,-3.689575672149658,-3.0667967796325684,-0.0650482252240181,0.3499145805835724,0.5428162217140198,5.969359216342879,0.5387005414650036,-0.11025697157354236,-0.6780152511250781,0.12633851338955543,3.075565762791039,0.020402197409210163,1.4972347676105482
1607533109.798824,1.48001098633,-4.75,0.0,0.35299992561300003,0.277000427246,0.109000004828,1.1987464427947998,-1.1839821974383753,2.144247055053711,-2.4773200193988245,4.6708269119262695,1.3213214874267578,0.2155626565217972,0.00458915950730443,-0.02417298033833504,0.033690053969621665,0.03880971297621727,0.6610115170478821,1.1123658418655396,-3.3828737735748287,-3.0712804794311523,0.002243042225018144,0.3117828667163849,0.5428162217140198,4.975231906118297,0.4617566298709246,-0.09424517959533021,-0.6819526148444918,0.12697024979086285,3.0764329116678892,0.018100307912364482,1.448712781530373
1607533109.9108136,0.690002441406,-3.83000183105,-0.129999160767,0.268999934196,0.20100021362300002,0.06499999761580001,1.2231321334838867,-1.1838863531695765,2.1427106857299805,-2.4742911497699183,4.675188064575195,1.3964506387710571,0.22080375254154205,0.0003707120195031166,-0.0051899682730436325,0.02072791568934917,0.043181560933589935,0.6762745976448059,1.1215211153030396,-4.261780261993408,-2.8538248538970947,0.0785064771771431,0.2534637749195099,0.6078644394874573,3.893830655895646,0.3420336974100622,-0.07740621392175484,-0.6847229692351733,0.12722991451211058,3.0769109187470187,0.015221458884550006,1.39798519494826
1607533110.0229087,0.830001831055,-4.45999145508,-0.289999008179,0.28399991989100004,0.08000087738039999,0.030000001192099997,1.2484532594680786,-1.1839702765094202,2.1427226066589355,-2.4723280111895956,4.679825782775879,1.4713122844696045,0.23211686313152316,-0.0004985437844879925,-0.0003451456723269075,0.017046362161636353,0.0415133573114872,0.6668022871017456,1.1627198457717896,-4.719543933868408,-2.5242786407470703,0.0605621412396431,0.2714081108570099,0.5652466416358948,4.545825144424945,0.29657392830667745,-0.05957630590293193,-0.6864080388976733,0.12704942065658512,3.077013472930378,0.012047286277443026,1.348456681194123
1607533110.1348598,0.820007324219,-4.669998168949999,-0.369998931885,0.297999978065,0.0410003662109,0.0009999983012680001,1.2752976417541504,-1.1839702765094202,2.1426024436950684,-2.470987145100729,4.684283256530762,1.5444225072860718,0.2479935586452484,-0.0003067961661145091,-0.0,0.009510681033134459,0.036988113075494766,0.6462661027908325,1.1810303926467896,-4.595947742462158,-2.652061939239502,0.0852356031537056,0.3207550346851349,0.7267456650733948,4.755858925511268,0.30080893762115996,-0.04071896702730207,-0.6878173642809129,0.12694199371769893,3.0775074444275408,0.009323112346455461,1.3021762789014557
1607533110.2468808,0.730010986328,-3.9700012207,-0.129999160767,0.29899990558600004,-0.026000022888199997,-0.018000001087799998,1.3032335042953491,-1.183862034474508,2.141366004943848,-2.4698379675494597,4.688608646392822,1.6161645650863647,0.25176459550857544,0.006263754796236754,-0.039870716631412506,0.016797089949250218,0.037755101919174194,0.6413190364837646,1.5380860567092896,-3.4057619571685787,-2.735008955001831,0.1188812404870987,0.2400055229663849,0.5383301377296448,4.038653923564039,0.30066749869213444,-0.021261486303254914,-0.6893577604584721,0.12727568615824789,3.0789293166504006,0.0070738613761483675,1.258325906341908
